practice_id,cont_week,cases,sinwe,coswe,population,uk_imdquintile
20,54,2,0.23931566428755732,0.9709418174260521,10322,2
20,55,5,0.3546048870425355,0.9350162426854148,10322,2
20,56,2,0.46472317204376795,0.8854560256532102,10322,2
20,57,1,0.5680647467311555,0.8229838658936566,10322,2
20,58,1,0.6631226582407952,0.7485107481711011,10322,2
20,59,1,0.7485107481711007,0.6631226582407956,10322,2
20,61,1,0.8854560256532099,0.46472317204376845,10322,2
20,62,3,0.9350162426854147,0.354604887042536,10322,2
20,63,3,0.970941817426052,0.23931566428755785,10322,2
20,64,2,0.9927088740980539,0.12053668025532369,10322,2
20,65,1,1,3.061515884555943e-16,10322,2
20,66,1,0.992708874098054,-0.12053668025532309,10322,2
20,67,1,0.9709418174260519,-0.23931566428755813,10322,2
20,68,3,0.9350162426854148,-0.35460488704253545,10322,2
20,70,1,0.8229838658936571,-0.5680647467311547,10322,2
20,71,2,0.7485107481711012,-0.6631226582407952,10322,2
20,73,1,0.5680647467311568,-0.8229838658936557,10322,2
20,76,1,0.23931566428755877,-0.9709418174260518,10322,2
20,77,1,0.12053668025532287,-0.992708874098054,10322,2
20,78,2,3.673819061467132e-16,-1,10322,2
20,79,2,-0.12053668025532391,-0.9927088740980539,10322,2
20,80,1,-0.23931566428755807,-0.9709418174260519,10322,2
20,81,3,-0.3546048870425354,-0.93501624268541494,10322,2
20,83,2,-0.5680647467311561,-0.8229838658936561,10322,2
20,84,1,-0.6631226582407951,-0.7485107481711012,10322,2
20,85,1,-0.7485107481711006,-0.6631226582407957,10322,2
20,88,1,-0.935016242685414,-0.3546048870425378,10322,2
24,18,1,0.8229838658936565,-0.5680647467311557,14008,3
24,20,3,0.6631226582407952,-0.7485107481711012,14008,3
24,21,1,0.5680647467311558,-0.8229838658936564,14008,3
24,22,2,0.46472317204376906,-0.8854560256532096,14008,3
24,23,2,0.35460488704253584,-0.9350162426854147,14008,3
24,25,1,0.12053668025532308,-0.992708874098054,14008,3
24,27,1,-0.12053668025532283,-0.992708874098054,14008,3
24,28,1,-0.23931566428755743,-0.9709418174260521,14008,3
24,30,1,-0.46472317204376806,-0.8854560256532101,14008,3
24,33,1,-0.7485107481711011,-0.6631226582407952,14008,3
24,34,2,-0.8229838658936564,-0.5680647467311559,14008,3
24,36,4,-0.9350162426854147,-0.3546048870425359,14008,3
24,39,1,-1,-1.836909530733566e-16,14008,3
24,40,3,-0.992708874098054,0.1205366802553232,14008,3
24,41,2,-0.9709418174260521,0.23931566428755738,14008,3
24,42,2,-0.9350162426854148,0.35460488704253557,14008,3
24,43,1,-0.8854560256532101,0.464723172043768,14008,3
24,45,3,-0.7485107481711011,0.6631226582407952,14008,3
24,46,1,-0.6631226582407955,0.7485107481711007,14008,3
24,47,4,-0.5680647467311559,0.8229838658936564,14008,3
24,48,2,-0.4647231720437684,0.88545602565321,14008,3
24,49,1,-0.35460488704253595,0.9350162426854147,14008,3
24,50,1,-0.2393156642875578,0.970941817426052,14008,3
24,51,3,-0.12053668025532363,0.992708874098054,14008,3
24,53,2,0.12053668025532314,0.992708874098054,14008,3
24,56,2,0.46472317204376795,0.8854560256532102,14008,3
24,57,1,0.5680647467311555,0.8229838658936566,14008,3
24,58,3,0.6631226582407952,0.7485107481711011,14008,3
24,59,4,0.7485107481711007,0.6631226582407956,14008,3
24,60,4,0.8229838658936558,0.5680647467311567,14008,3
24,61,1,0.8854560256532099,0.46472317204376845,14008,3
24,62,5,0.9350162426854147,0.354604887042536,14008,3
24,63,2,0.970941817426052,0.23931566428755785,14008,3
24,65,3,1,3.061515884555943e-16,14008,3
24,66,1,0.992708874098054,-0.12053668025532309,14008,3
24,67,1,0.9709418174260519,-0.23931566428755813,14008,3
24,68,2,0.9350162426854148,-0.35460488704253545,14008,3
24,69,3,0.8854560256532102,-0.4647231720437679,14008,3
24,70,1,0.8229838658936571,-0.5680647467311547,14008,3
24,71,4,0.7485107481711012,-0.6631226582407952,14008,3
24,75,2,0.35460488704253607,-0.9350162426854146,14008,3
24,76,1,0.23931566428755877,-0.9709418174260518,14008,3
24,78,1,3.673819061467132e-16,-1,14008,3
24,80,1,-0.23931566428755807,-0.9709418174260519,14008,3
24,83,1,-0.5680647467311561,-0.8229838658936561,14008,3
24,84,1,-0.6631226582407951,-0.7485107481711012,14008,3
